Nome|Idade|Localização(Cidade, Estado)|Amigos(Lista)|Hobbies|Coding|Jogos|ID|Email|DataDeNascimento|Jogos(Nome, Plataforma)|ano_nascimento
Fernando|29|['Fortaleza', 'CE']|['Lucas', 'Aline']||||3f1407f0327643029c69a2afd5ae04e5||||1995
Gabriela|27|['Fortaleza', 'CE']|['Carla', 'Aline', 'Rafaela']||||8873ca20f694453aa17418c2e1e6d355||||1997
MatheusCosta Ribeiro|36|['Fortaleza', 'CE']||['leitura', 'cozinhar', 'música', 'cinema', 'pintura']|['Go', 'PHP', 'Ruby', 'Java', 'Python']||be958e3ff5284325a3260d7b80d45a8d|matheus4@webmail.net|1988-09-22|[['Overwatch', 'PC']]|1988
GuilhermeRocha|2024|['Fortaleza', 'CE']||['pintura']|['JavaScript', 'C++']||0a268635586542eaa7d630a0930f7677|guilherme1@inbox.org|1993-05-14|[['Cyberpunk 2077', 'PC'], ['The Witcher 3', 'Xbox One'], ['Minecraft', 'PC'], ['Valorant', 'PC'], ['Fortnite', 'PlayStation 4']]|0
MatheusSilva|19|['Fortaleza', 'CE']||['pintura', 'leitura', 'futebol']|['Python']||b00ea928c23a4308ac3df491c59d4d4a|matheusz1@inbox.org|2004-12-23|[]|2005
JoãoRodrigues Araújo|24|['Fortaleza', 'CE']||['pintura', 'música', 'cinema', 'cozinhar', 'viagem']|['JavaScript', 'Go', 'Kotlin']||6f3b96a8d0f84a058526c07bb66afb32|joãon@webmail.net|2000-01-17|[['Valorant', 'PC']]|2000
CamilaSilva Carvalho|2024|['Fortaleza', 'CE']||['pintura', 'música', 'cozinhar', 'fotografia', 'natação']|['Swift', 'PHP', 'Python']||4748abd2c37d4992b504a84e97ab368e|camilar@inbox.org|1984-11-21|[['Overwatch', 'PC'], ['GTA V', 'PlayStation 4'], ['Apex Legends', 'PC']]|0
MarianaAraújo|37|['Fortaleza', 'CE']||['natação']|['Swift', 'Ruby', 'C++']||4d093d7b4b114cce9330ad882c5da88e|marianafyu@mailservice.com|1987-04-21|[['GTA V', 'PlayStation 4'], ['Cyberpunk 2077', 'PC']]|1987
JuliaMartins|44|['Fortaleza', 'CE']||['cinema', 'música', 'cozinhar']|['Java']||b08af034dfde4ca899dbda2e6e1e27c9|juliaxmw@inbox.org|1980-02-20|[['The Witcher 3', 'Xbox One'], ['Valorant', 'PC'], ['Apex Legends', 'PC']]|1980
CarlaSouza|20|['Fortaleza', 'CE']||[]|['Go', 'C++', 'Kotlin', 'Java', 'Python']||a00c12bef59e4141a26e952d30e9cdf0|carlafa8@webmail.net|2004-03-04|[['Minecraft', 'PC']]|2004
