Nome|Idade|Localização(Cidade, Estado)|Amigos(Lista)|Hobbies|Coding|Jogos|ID|Email|DataDeNascimento|Jogos(Nome, Plataforma)|ano_nascimento
Carlos|30|['Belo Horizonte', 'MG']|['João', 'Marcos', 'Caio']||||17dcc693bb8e43ac8b0950d489b7ce32||||1994
Pedro|26|['Belo Horizonte', 'MG']|['João', 'Aline']||||ccf90d5ae3ae4ace8754a8904a7ceeae||||1998
BrunoBarbosa Souza|18|['Belo Horizonte', 'MG']||['viagem', 'cinema', 'futebol']|['Swift', 'C#', 'Go', 'Kotlin', 'PHP']||159a1841b9fd4ad4bd31c32a9a0f1f70|bruno0@freemail.com|2006-01-01|[['Overwatch', 'PC'], ['GTA V', 'PlayStation 4'], ['The Witcher 3', 'Xbox One'], ['Minecraft', 'PC']]|2006
SofiaAraújo Carvalho Rodrigues|46|['Juiz de Fora', 'MG']||['viagem', 'pintura']|[]||c1122447a79f44a5937f2c930d631ad3|sofia6@example.com|1978-04-09|[]|1978
PedroSilva|2024|['Belo Horizonte', 'MG']||['leitura']|['Python', 'C++', 'Ruby', 'C#', 'Swift']||90a95353975c4ab3a7cf4781e0111293|pedrog@webmail.net|1984-04-26|[]|0
LarissaAlmeida Rodrigues|36|['Juiz de Fora', 'MG']||['fotografia']|['Python', 'C++', 'Java', 'Go']||a6aabf85c3714b4482bdd3d3bea0e6e6|larissah1@randommail.com|1988-06-06|[['The Witcher 3', 'Xbox One'], ['Among Us', 'Mobile']]|1988
PedroCarvalho Araújo|31|['Juiz de Fora', 'MG']||['futebol', 'fotografia', 'natação', 'leitura', 'cozinhar']|['Kotlin', 'Java', 'Swift', 'Ruby', 'Go']||ac8960a89efc47f8a726b727d1879077|pedrog@mailservice.com|1993-03-22|[['Fortnite', 'PlayStation 4']]|1993
FernandaCorreia|29|['Juiz de Fora', 'MG']||[]|['Python', 'C#', 'PHP', 'JavaScript']||4bb20603b5d94f4ca626d999dc0107cf|fernandac@example.com||[['Minecraft', 'PC'], ['Overwatch', 'PC'], ['Valorant', 'PC'], ['Cyberpunk 2077', 'PC'], ['GTA V', 'PlayStation 4']]|1995
LarissaGomes Moraes|33|['Juiz de Fora', 'MG']||['ciclismo', 'natação', 'música', 'cinema', 'viagem']|[]||5a353486fc624a3f947c3bd9a813e4c9|larissawvv@fastmail.com|1991-03-11|[['GTA V', 'PlayStation 4'], ['League of Legends', 'PC'], ['Apex Legends', 'PC'], ['Valorant', 'PC'], ['Cyberpunk 2077', 'PC']]|1991
PedroSouza Oliveira|20|['Juiz de Fora', 'MG']||['música', 'natação', 'ciclismo']|['Go', 'PHP']||19c764581acc42219144d9f19b4d3671|pedrosq@fastmail.com|2003-11-12|[['Fortnite', 'PlayStation 4'], ['Overwatch', 'PC'], ['Among Us', 'Mobile'], ['Valorant', 'PC'], ['The Witcher 3', 'Xbox One']]|2004
