Nome|Idade|Localização(Cidade, Estado)|Amigos(Lista)|Hobbies|Coding|Jogos|ID|Email|DataDeNascimento|Jogos(Nome, Plataforma)|ano_nascimento
João|25|['Rio de Janeiro', 'RJ']|['Ana', 'Carlos']||||83ac8df6e33e4c0186a76c3d71737a94||||1999
Mateus|32|['Rio de Janeiro', 'RJ']|['Caio', 'Fernando', 'João']||||fdf698102f7a430e9264f709bd1e63b0||||1992
Camila|28|['Niterói', 'RJ']|['Juliana', 'Bruno', 'Lucas', 'Caio']||||91922dd2e76d44bea6de315b77ceea03||||1996
Daniel|25|['Rio de Janeiro', 'RJ']|['Camila', 'Paulo', 'Amanda']||||57d4110783d046359be7dc954501514a||||1999
LarissaMoraes Barbosa|20|['Petropolis', 'RJ']||['leitura', 'fotografia', 'ciclismo']|['C#', 'C++', 'Ruby', 'JavaScript']||172f347e605b47548b13231720f3e73b|larissakx@webmail.net|2004-09-04|[['GTA V', 'PlayStation 4'], ['Cyberpunk 2077', 'PC'], ['Valorant', 'PC']]|2004
BeatrizSouza Carvalho Moraes|47|['Volta Redonda', 'RJ']||[]|['JavaScript', 'Swift', 'Go', 'Java']||733257c844e54246bb503afd57956141|beatriz13@fastmail.com|1977-03-20|[['Apex Legends', 'PC']]|1977
LuísOliveira|38|['Rio de Janeiro', 'RJ']||['leitura']|['C++', 'Java', 'C#', 'Ruby']||046a4d0274984359bbfae1a8d774a5ed|luís8@inbox.org|1986-07-21|[['The Witcher 3', 'Xbox One'], ['GTA V', 'PlayStation 4']]|1986
AnaBarbosa Araújo|41|['Rio de Janeiro', 'RJ']||[]|['Python', 'Kotlin', 'Swift', 'C++', 'PHP']||45b6fd2163b84ad9abc5c94f24160fbb|anazq@randommail.com|1982-11-06|[['Apex Legends', 'PC'], ['The Witcher 3', 'Xbox One'], ['Minecraft', 'PC']]|1983
JoãoAraújo Silva|44|['Volta Redonda', 'RJ']||['viagem', 'pintura', 'natação', 'futebol']|['Ruby', 'Swift', 'PHP', 'Python', 'Kotlin']||f9fb25f167824aea8d6d0af4361b5f8c|joãow@inbox.org|1980-04-11|[['The Witcher 3', 'Xbox One'], ['Valorant', 'PC']]|1980
PedroRibeiro|48|['Rio de Janeiro', 'RJ']||['ciclismo']|['Go', 'JavaScript', 'PHP', 'Swift']||72d7489fec084fa1ba227284037a9450|pedroi@freemail.com|1976-04-19|[]|1976
PedroAraújo Dias Gomes|40|['Petropolis', 'RJ']||[]|['PHP', 'Ruby', 'Java', 'JavaScript']||2735fa6509d94c1f9043a063f7b6bf78|pedroh@example.com|1984-07-10|[]|1984
AnaDias|20|['Volta Redonda', 'RJ']||['fotografia']|['C#']||0c1579c412f441fd9297fab729ae4e4a|anak2@fastmail.com|31/02/2000|[['GTA V', 'PlayStation 4'], ['Among Us', 'Mobile'], ['Apex Legends', 'PC'], ['Valorant', 'PC']]|2004
LuísBarbosa Rocha Gomes|21|['Petropolis', 'RJ']||['futebol', 'fotografia', 'música', 'leitura']|['Ruby']||f2c0776037a4418784abf20c02b436a2|luísy7r@mailservice.com|2003-03-20|[['Fortnite', 'PlayStation 4'], ['Apex Legends', 'PC'], ['Overwatch', 'PC']]|2003
LarissaPereira Carvalho|30|['Petropolis', 'RJ']||['pintura']|[]||231609664f054030b67be97ac61d9cf5|larissaq@example.com|1994-10-04|[['Fortnite', 'PlayStation 4'], ['League of Legends', 'PC'], ['The Witcher 3', 'Xbox One']]|1994
JuliaCosta Carvalho Lima|44|['Volta Redonda', 'RJ']||[]|['JavaScript', 'Go', 'PHP', 'C++', 'Ruby']||203cff7e01054c3eafedc1f9c40df35d|juliar@mailservice.com|1980-04-23|[['Valorant', 'PC'], ['League of Legends', 'PC'], ['Apex Legends', 'PC']]|1980
MariaFernandes Correia Ribeiro|19|['Rio de Janeiro', 'RJ']||['fotografia', 'ciclismo', 'natação']|['Ruby', 'PHP']||e95950f29bd947df941e06a214b990a6|pedro.oliveiraexample.com|2005-03-28|[['Minecraft', 'PC'], ['Valorant', 'PC'], ['Among Us', 'Mobile'], ['The Witcher 3', 'Xbox One'], ['Cyberpunk 2077', 'PC']]|2005
CarlaRodrigues|48|['Petropolis', 'RJ']||['cozinhar']|['JavaScript', 'Swift', 'Java']||8d2a3d18de8b4c6984628a982b6dcef3|carla3k@webmail.net|1976-06-09|[['GTA V', 'PlayStation 4'], ['The Witcher 3', 'Xbox One'], ['Overwatch', 'PC'], ['Among Us', 'Mobile']]|1976
